Dataset name,Feature studied,Directed,First split,Num nodes,Num edges,Homophily,Num CC,BCC num nodes,BCC num edges,BCC homophily,Execution time,Type split
ogbn-products,y,False,no-split,5000,246,0.7568969776826155,4757,20,19,-0.2500000000000001,0.028978824615478516,20 random iterations
ogbn-products,y,False,no-split,5000,240,0.767404296559522,4764,22,21,0.5774647887323944,0.13526701927185059,20 random iterations
ogbn-products,y,False,no-split,5000,259,0.7813405635334899,4744,6,5,0.310344827586207,0.028507471084594727,20 random iterations
ogbn-products,y,False,no-split,5000,232,0.7713065264714338,4772,7,6,-0.09090909090909058,0.13260269165039062,20 random iterations
ogbn-products,y,False,no-split,5000,233,0.8084285041059629,4773,9,8,-0.06666666666666667,0.13688373565673828,20 random iterations
ogbn-products,y,False,no-split,5000,242,0.8314692568841947,4763,4,3,nan,0.029142379760742188,20 random iterations
ogbn-products,y,False,no-split,5000,276,0.8207792207792209,4731,5,5,nan,0.13428616523742676,20 random iterations
ogbn-products,y,False,no-split,5000,270,0.8068079333964389,4734,10,9,-0.058823529411764955,0.0281217098236084,20 random iterations
ogbn-products,y,False,no-split,10000,1123,0.7794595202122246,8946,27,26,0.28050314465408793,0.16493511199951172,10 random iterations
ogbn-products,y,False,no-split,10000,941,0.7895006742161662,9101,25,25,0.4505494505494505,0.1731400489807129,10 random iterations
ogbn-products,y,False,no-split,10000,1087,0.8281214569128206,8974,23,24,-0.05109489051094945,0.1708240509033203,10 random iterations
ogbn-products,y,False,no-split,10000,1040,0.8042076528451076,8997,30,31,-0.03333333333333365,0.17071151733398438,10 random iterations
ogbn-products,y,False,no-split,10000,1133,0.7617042650320989,8930,21,21,0.08848080133555926,0.1679987907409668,10 random iterations
ogbn-products,y,False,no-split,10000,1000,0.8102861011132341,9026,26,26,nan,0.16674232482910156,10 random iterations
ogbn-products,y,False,no-split,10000,1133,0.7940888943927378,8920,25,27,0.4600000000000003,0.16444063186645508,10 random iterations
ogbn-products,y,False,no-split,10000,1065,0.7841271601745303,8978,75,82,0.2,0.17334437370300293,10 random iterations
ogbn-products,y,False,no-split,10000,1074,0.7977619537855023,8980,14,14,nan,0.1714024543762207,10 random iterations
ogbn-products,y,False,no-split,10000,1068,0.7988764141167605,8973,22,21,-0.02292263610315188,0.16969585418701172,10 random iterations
ogbn-products,y,False,no-split,50000,25227,0.7944165863145223,30653,13101,18007,0.77471003242239,0.8576157093048096,10 random iterations
ogbn-products,y,False,no-split,50000,26197,0.7904165999379784,30326,14087,19785,0.7734462068314091,0.8693907260894775,10 random iterations
ogbn-products,y,False,no-split,50000,25614,0.7877118173051977,30627,13505,18861,0.7685102760010517,0.8625762462615967,10 random iterations
ogbn-products,y,False,no-split,50000,26118,0.783077821633479,30327,14091,19735,0.7643704522883461,0.8687252998352051,10 random iterations
ogbn-products,y,False,no-split,50000,25421,0.7962332778602738,30904,13205,18603,0.7852467114588416,0.8610401153564453,10 random iterations
ogbn-products,y,False,no-split,50000,25538,0.7922311428730282,30509,13607,18822,0.7775730490169243,0.8352370262145996,10 random iterations
ogbn-products,y,False,no-split,50000,25081,0.7981554717230349,30742,13265,18247,0.7875126183399501,0.8303089141845703,10 random iterations
ogbn-products,y,False,no-split,50000,26148,0.795430101489637,30382,13989,19599,0.7815532471404292,0.8382482528686523,10 random iterations
ogbn-products,y,False,no-split,50000,25420,0.7887153550406616,30568,13384,18324,0.7669676556561372,0.8312015533447266,10 random iterations
ogbn-products,y,False,no-split,50000,25174,0.7800578711216294,30772,12815,17787,0.7553506933250503,0.8262233734130859,10 random iterations
ogbn-products,y,False,no-split,100000,102197,0.7897598647216493,44098,49372,94270,0.7820367443157017,1.9381213188171387,10 random iterations
ogbn-products,y,False,no-split,100000,102675,0.7869024142995213,44097,49428,95123,0.7804857728950341,1.974471092224121,10 random iterations
ogbn-products,y,False,no-split,100000,102221,0.7864154825013872,43961,49479,94466,0.7793064651698095,1.963963508605957,10 random iterations
ogbn-products,y,False,no-split,100000,102957,0.7911526680262942,43763,49854,95444,0.7850547445105465,1.9601435661315918,10 random iterations
ogbn-products,y,False,no-split,100000,102726,0.7877354646487225,43804,49864,95262,0.7818754422711011,1.9795541763305664,10 random iterations
ogbn-products,y,False,no-split,100000,102204,0.7886531762473006,44155,49410,94659,0.781351925253855,1.978621006011963,10 random iterations
ogbn-products,y,False,no-split,100000,101722,0.7989241584634489,44217,49009,93450,0.7931396682250681,1.9544658660888672,10 random iterations
ogbn-products,y,False,no-split,100000,102411,0.788440607160545,44038,49517,94840,0.7822656864816168,1.99198579788208,10 random iterations
ogbn-products,y,False,no-split,100000,104747,0.7833140635734388,43814,49666,96893,0.7765109910146691,1.998225212097168,10 random iterations
ogbn-products,y,False,no-split,100000,101581,0.7880660111369584,44288,49159,93605,0.7825853917258263,1.9751648902893066,10 random iterations
ogbn-products,y,False,no-split,500000,2577046,0.7898797006052548,74431,409174,2535731,0.7873112096355661,25.462687492370605,5 random iterations
ogbn-products,y,False,no-split,500000,2566573,0.7935906566386021,74680,408575,2524782,0.7910197066368957,24.576513528823853,5 random iterations
ogbn-products,y,False,no-split,500000,2574176,0.7917374777295406,74134,417878,2563265,0.7911781610883987,25.323261737823486,5 random iterations
ogbn-products,y,False,no-split,500000,2576223,0.7915882738411208,74147,409337,2536266,0.7891092681493225,25.16261601448059,5 random iterations
ogbn-products,y,False,no-split,500000,2571012,0.7934655091801864,74885,417217,2560108,0.7929157722943775,25.36197853088379,5 random iterations
ogbn-products,y,False,no-split,2449029,61859140,0.791069854196984,52658,2385902,61806431,0.7908852504934727,522.7683954238892,3 random iterations
ogbn-products,y,False,no-split,2449029,61859140,0.791069854196984,52658,2385902,61806431,0.7908852504934727,512.8377845287323,3 random iterations
ogbn-products,y,False,no-split,2449029,61859140,0.791069854196984,52658,2385902,61806431,0.7908852504934727,523.3122508525848,3 random iterations
