Dataset name,Directed,First split,Num nodes,Num edges,Real average degree,Average degree,Edge cut,Average clustering,Density,Num CC,BCC num nodes,BCC num edges,BCC average path length,BCC diameter,BCC radius,BCC node connectivity,BCC edge connectivity,BCC num greedy modularity communities,Modularity greedy modularity communities,Coverage greedy modularity communities,Execution time,Type split
ogbn-arxiv*,True,no-split,10000,3665,13.0841,0.733,123511,0.016712244071597847,3.665366536653665e-05,9969,4,7,1.5,3,1,1,1,3,-0.18,0.14285714285714285,0.9210371971130371,16 ordered iterations
ogbn-arxiv,True,no-split,10000,4560,14.5085,0.912,135965,0.023129403644032293,4.5604560456045606e-05,9967,3,6,1.0,1,1,2,2,3,-0.3333333333333333,0.0,2.2552285194396973,16 ordered iterations
ogbn-arxiv*,True,no-split,10000,3697,13.0679,0.7394,123285,0.013685481455467448,3.6973697369736976e-05,9965,3,5,1.1666666666666667,2,1,2,1,3,-0.3333333333333333,0.0,1.1003625392913818,16 ordered iterations
ogbn-arxiv,True,no-split,10000,4443,14.341,0.8886,134524,0.01643502874571057,4.443444344434443e-05,9972,2,2,1.0,1,1,1,1,2,-0.5,0.0,1.2008750438690186,16 ordered iterations
ogbn-arxiv,True,no-split,10000,4079,13.819,0.8158,130032,0.013691293767663273,4.07940794079408e-05,9966,4,6,1.5,2,1,1,1,4,-0.33333333333333337,0.0,1.0314114093780518,16 ordered iterations
ogbn-arxiv*,True,no-split,10000,5001,15.5073,1.0002,145071,0.02163201296497871,5.0015001500150015e-05,9964,4,7,1.4166666666666667,2,1,1,1,4,-0.28125,0.0,3.178668260574341,16 ordered iterations
ogbn-arxiv*,True,no-split,10000,3989,13.8132,0.7978,130154,0.013805312664841338,3.989398939893989e-05,9983,3,4,1.3333333333333333,2,1,2,1,3,-0.3333333333333333,0.0,1.393134593963623,16 ordered iterations
ogbn-arxiv*,True,no-split,10000,3821,13.4338,0.7642,126696,0.012812429410214696,3.821382138213822e-05,9974,4,6,1.5833333333333333,3,2,1,1,3,-0.15625,0.16666666666666666,0.9945251941680908,16 ordered iterations
ogbn-arxiv,True,no-split,10000,4048,13.9536,0.8096,131440,0.014088697004534714,4.048404840484049e-05,9981,3,4,1.3333333333333333,2,1,1,1,3,-0.375,0.0,1.0380654335021973,16 ordered iterations
ogbn-arxiv*,True,no-split,10000,4077,13.6099,0.8154,127945,0.015289730271684456,4.077407740774077e-05,9968,3,3,1.5,2,2,1,1,1,0.0,1.0,1.5074536800384521,16 ordered iterations
