Dataset name,Directed,First split,Num nodes,Num edges,Real average degree,Average degree,Edge cut,Average clustering,Density,Num CC,BCC num nodes,BCC num edges,BCC average path length,BCC diameter,BCC radius,BCC node connectivity,BCC edge connectivity,BCC num greedy modularity communities,Modularity greedy modularity communities,Coverage greedy modularity communities,Execution time,Type split
ogbn-products,False,no-split,1000,6,40.037,0.012,40025,0.0,1.2012012012012012e-05,994,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07854032516479492,100 ordered iterations
ogbn-products,False,no-split,1000,8,40.153,0.016,40137,0.0,1.6016016016016015e-05,992,2,1,1.0,1,1,1,1,1,0.0,1.0,0.0787956714630127,100 ordered iterations
ogbn-products,False,no-split,1000,13,41.179,0.026,41153,0.0,2.6026026026026025e-05,987,2,1,1.0,1,1,1,1,1,0.0,1.0,0.0807042121887207,100 ordered iterations
ogbn-products,False,no-split,1000,6,39.041,0.012,39029,0.0,1.2012012012012012e-05,994,2,1,1.0,1,1,1,1,1,0.0,1.0,0.0774533748626709,100 ordered iterations
ogbn-products,False,no-split,1000,9,41.773,0.018,41755,0.0,1.801801801801802e-05,991,3,2,1.3333333333333333,2,1,1,1,1,0.0,1.0,0.08651304244995117,100 ordered iterations
ogbn-products,False,no-split,1000,10,38.789,0.02,38769,0.0,2.002002002002002e-05,990,3,2,1.3333333333333333,2,1,1,1,1,0.0,1.0,0.08113813400268555,100 ordered iterations
ogbn-products,False,no-split,1000,9,38.469,0.018,38451,0.0,1.801801801801802e-05,991,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07751297950744629,100 ordered iterations
ogbn-products,False,no-split,1000,4,38.688,0.008,38680,0.0,8.008008008008007e-06,996,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07677102088928223,100 ordered iterations
ogbn-products,False,no-split,1000,7,37.009,0.014,36995,0.0,1.4014014014014014e-05,993,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07390928268432617,100 ordered iterations
ogbn-products,False,no-split,1000,9,36.986,0.018,36968,0.0,1.801801801801802e-05,991,3,2,1.3333333333333333,2,1,1,1,1,0.0,1.0,0.07410430908203125,100 ordered iterations
ogbn-products,False,no-split,1000,8,38.651,0.016,38635,0.0,1.6016016016016015e-05,992,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07676815986633301,100 ordered iterations
ogbn-products,False,no-split,1000,7,40.367,0.014,40353,0.0,1.4014014014014014e-05,993,3,2,1.3333333333333333,2,1,1,1,1,0.0,1.0,0.09123802185058594,100 ordered iterations
ogbn-products,False,no-split,1000,5,37.544,0.01,37534,0.0,1.001001001001001e-05,995,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07450413703918457,100 ordered iterations
ogbn-products,False,no-split,1000,7,36.941,0.014,36927,0.0,1.4014014014014014e-05,993,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07331967353820801,100 ordered iterations
ogbn-products*,False,no-split,1000,0,38.72,0.0,38720,0.0,0,1000,1,0,0,0,0,0,0,0,0,0,0.07595586776733398,100 ordered iterations
ogbn-products,False,no-split,1000,12,40.365,0.024,40341,0.003,2.4024024024024024e-05,989,3,3,1.0,1,1,2,2,1,0.0,1.0,0.08286619186401367,100 ordered iterations
ogbn-products,False,no-split,1000,5,35.527,0.01,35517,0.0,1.001001001001001e-05,995,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07145810127258301,100 ordered iterations
ogbn-products,False,no-split,1000,10,43.152,0.02,43132,0.0,2.002002002002002e-05,990,3,2,1.3333333333333333,2,1,1,1,1,0.0,1.0,0.08709144592285156,100 ordered iterations
ogbn-products,False,no-split,1000,4,37.898,0.008,37890,0.0,8.008008008008007e-06,996,2,1,1.0,1,1,1,1,1,0.0,1.0,0.07538032531738281,100 ordered iterations
ogbn-products,False,no-split,1000,7,40.853,0.014,40839,0.0,1.4014014014014014e-05,993,2,1,1.0,1,1,1,1,1,0.0,1.0,0.08095836639404297,100 ordered iterations
ogbn-products,False,no-split,5000,3504,169.7606,1.4016,841795,0.09864637514544765,0.000280376075215043,2204,1635,2129,19.351907291163688,55,28,1,1,40,0.9220910061043879,0.9628933771723814,539.6802651882172,50 ordered iterations
ogbn-products,False,no-split,5000,3588,169.9754,1.4352,842701,0.10704938296513997,0.0002870974194838968,2227,1600,2193,21.038911819887428,60,30,1,1,42,0.9325337490323332,0.9662562699498404,506.20693707466125,50 ordered iterations
ogbn-products,False,no-split,5000,3521,171.8364,1.4084,852140,0.10602733274806742,0.0002817363472694539,2271,1650,2264,18.10845507837624,48,24,1,1,39,0.9344895795614877,0.9695229681978799,588.0910263061523,50 ordered iterations
ogbn-products,False,no-split,5000,3589,174.7402,1.4356,866523,0.10175419340778456,0.0002871774354870974,2188,1888,2529,15.6372509723083,49,25,1,1,42,0.9222574482386289,0.9545274812178727,807.111428976059,50 ordered iterations
ogbn-products,False,no-split,5000,3576,174.04,1.4304,863048,0.10830281627728991,0.0002861372274454891,2169,1704,2250,15.405529871339999,45,23,1,1,44,0.9227921975308642,0.9542222222222222,646.5734026432037,50 ordered iterations
ogbn-products,False,no-split,5000,1014,92.3904,0.4056,459924,0.024683809523809507,8.113622724544909e-05,4055,18,18,4.470588235294118,10,5,1,1,5,0.5725308641975307,0.7777777777777778,1.0246086120605469,50 ordered iterations
ogbn-products,False,no-split,5000,128,38.0638,0.0512,190063,0.0006,1.0242048409681936e-05,4873,4,3,1.5,2,1,1,1,1,0.0,1.0,0.39882469177246094,50 ordered iterations
ogbn-products,False,no-split,5000,163,39.2158,0.0652,195753,0.0012,1.3042608521704341e-05,4839,9,8,2.2222222222222223,4,2,1,1,3,0.3671875,0.75,0.44152355194091797,50 ordered iterations
